layer,native_control_logit_rel_percent,program_logit_rel_percent,program_excess_over_control_percent,off_logit_rel_percent,off_effect_to_replacement_discrepancy_ratio,off_top1_change_rate,residual_first_percent,residual_peak_percent,residual_peak_index,residual_final_percent,downstream_amplification,final_retention_from_peak,internal_peak_to_final_logit_ratio,delayed_peak_layers
0,0.0,0.2428894396871328,0.2428894396871328,99.50833320617676,409.6857127026764,0.953125,99.92625920511394,118.44933080290588,24,118.44933080290588,1.1853674073775795,1.0,1.190345843272083,23
1,0.0,0.1918449299409985,0.1918449299409985,26.72134935855865,139.2861899805053,0.4375,48.16799787051671,52.75347893698149,3,40.41223764545363,1.095197667936942,0.7660582479068249,1.9742071490893829,1
2,0.0,0.1791465678252279,0.1791465678252279,86.16180419921875,480.957046764505,0.828125,99.58544806240324,100.01493762537216,20,96.06474398510842,1.0043127743191935,0.9605039633673516,1.1607804473792465,17
3,0.0,0.1901289680972695,0.1901289680972695,22.904931008815765,120.47049556960545,0.375,54.76523670650285,1117.0247264079142,22,52.85238423398357,20.39660181502106,0.0473153216616289,48.76787124912047,18
4,0.0,0.1689946977421641,0.1689946977421641,23.96741807460785,141.8234914753067,0.265625,1.1261017709084444,27.13572659248146,24,27.13572659248146,24.097046371386693,1.0,1.1321923165862515,19
5,0.0,0.1564448932185769,0.1564448932185769,25.11613070964813,160.5429886072225,0.46875,2.0419195520860502,48.66213209434424,22,40.46875089563101,23.831561848080845,0.8316271637496642,1.937485222421268,16
6,0.0,0.1701269997283816,0.1701269997283816,22.54270315170288,132.50514725877557,0.34375,1.0840954457072718,24.748835604409106,24,24.748835604409106,22.82901907060663,1.0,1.097864592274488,17
7,0.0,0.1536182244308293,0.1536182244308293,19.048653542995453,123.9999590775938,0.265625,1.0612221637698958,23.40004797159976,24,23.40004797159976,22.05009353411279,1.0,1.2284358009232834,16
8,0.0,0.1555231167003512,0.1555231167003512,14.833800494670868,95.38003616048525,0.28125,0.9188167396552636,18.832057739663213,24,18.832057739663213,20.49598894631472,1.0,1.2695369434440449,15
9,0.0,0.1523562008515,0.1523562008515,18.365080654621124,120.5404214070773,0.21875,0.9854205837449468,20.48722269625712,24,20.48722269625712,20.79033362424644,1.0,1.1155531021913596,14
10,0.0,0.1450762385502457,0.1450762385502457,17.920857667922974,123.52717334697272,0.25,0.9157138144606614,17.511825347806045,24,17.511825347806045,19.12368806854813,1.0,0.9771756281034994,13
11,0.0,0.1397017273120582,0.1397017273120582,16.063953936100006,114.98751121535676,0.328125,0.8940677621770017,17.173555850273033,24,17.173555850273033,19.20833808888987,1.0,1.0690740224098536,12
12,0.0,0.1377292443066835,0.1377292443066835,17.3159122467041,125.72429576500492,0.375,0.8840126228436104,17.522008831756786,24,17.522008831756786,19.82099393037353,1.0,1.011902150006097,11
13,0.0,0.1354890060611069,0.1354890060611069,16.54900312423706,122.14277457149026,0.296875,0.9825028148585304,18.065275486113936,24,18.065275486113936,18.38699616215872,1.0,1.091623184218039,10
14,0.0,0.1257402705959975,0.1257402705959975,18.050049245357517,143.5502656372688,0.28125,1.037451890723603,19.281629222561214,24,19.281629222561214,18.58556468494423,1.0,1.0682313915304396,9
15,0.0,0.1253788010217249,0.1253788010217249,28.28201055526733,225.5725076711077,0.359375,1.2642133966942164,23.030464304412067,24,23.030464304412067,18.217228487401165,1.0,0.8143149603670167,8
16,0.0,0.115540821570903,0.115540821570903,25.30481517314911,219.01190271198212,0.265625,1.7493908970036407,28.621504324027665,24,28.621504324027665,16.360839863206458,1.0,1.1310694872965477,7
17,0.0,0.1196569879539311,0.1196569879539311,19.595153629779816,163.76104701318496,0.328125,1.5992213008234712,23.549107711022,24,23.549107711022,14.725358959948874,1.0,1.2017822445256638,6
18,0.0,0.1052200328558683,0.1052200328558683,22.747349739074707,216.1883922830009,0.328125,1.7913468835319888,22.794976061662258,24,22.794976061662258,12.725048549344908,1.0,1.0020937086356807,5
19,0.0,0.102505087852478,0.102505087852478,27.2501140832901,265.8415758104376,0.375,2.507975262080344,29.30513515211156,24,29.30513515211156,11.684778392831197,1.0,1.0754133014834462,4
20,0.0,0.0922577106393873,0.0922577106393873,34.934911131858826,378.6665731215765,0.3125,3.411760662480248,32.905719106258715,24,32.905719106258715,9.644791168421891,1.0,0.9419150654787384,3
21,0.0,0.1148041104897856,0.1148041104897856,33.48979353904724,291.7124952771346,0.40625,788.849670711866,788.849670711866,22,52.98490241091438,1.0,0.0671672999027815,23.554927855619983,0
22,0.0,0.069660844746977,0.069660844746977,33.06171894073486,474.6097906337773,0.390625,39.5153230510603,44.362391567501874,24,44.362391567501874,1.1226630112621974,1.0,1.3418053564312296,1
23,0.0,0.0402424484491348,0.0402424484491348,58.22579860687256,1446.875149271002,0.421875,75.68699534766374,75.68699534766374,24,75.68699534766374,1.0,1.0,1.2998876298577755,0
