layer,attention_program_logit_rel_percent,mlp_program_logit_rel_percent,full_program_logit_rel_percent,qk_off_all_heads_logit_rel_percent,qk_off_all_heads_top1_change_rate,qk_off_all_heads_peak_residual_percent,qk_off_all_heads_peak_residual_index,qk_off_all_heads_final_residual_percent,vo_off_all_heads_logit_rel_percent,vo_off_all_heads_top1_change_rate,vo_off_all_heads_peak_residual_percent,vo_off_all_heads_peak_residual_index,vo_off_all_heads_final_residual_percent,mlp_off_logit_rel_percent,mlp_off_top1_change_rate,mlp_off_peak_residual_percent,mlp_off_peak_residual_index,mlp_off_final_residual_percent,full_off_logit_rel_percent,full_off_top1_change_rate,full_off_peak_residual_percent,full_off_peak_residual_index,full_off_final_residual_percent
0,0.2550728153437376,0.24288943968713284,0.24104244075715542,32.70470201969147,0.5,55.04057351984118,22,43.7736531785137,100.92569589614868,0.8125,106.98421061394214,24,106.98421061394214,99.50833320617676,0.953125,118.44933080290589,24,118.44933080290589,109.22611951828003,0.96875,121.76520980027313,24,121.76520980027313
1,0.2074259566143155,0.19184492994099855,0.21795742213726044,10.53808405995369,0.203125,23.10861846081705,2,17.446183783300445,90.05550742149353,0.8125,92.80637857551952,24,92.80637857551952,26.721349358558655,0.4375,52.75347893698149,3,40.41223764545363,79.64316010475159,0.859375,75.66856193551122,24,75.66856193551122
2,0.18445819150656462,0.17914656782522798,0.19423665944486856,11.371570080518723,0.1875,19.10749753074899,24,19.10749753074899,15.668441355228424,0.265625,28.019551918496973,24,28.019551918496973,86.16180419921875,0.828125,100.01493762537217,20,96.06474398510842,71.05246186256409,0.78125,99.59130344901835,3,84.32190812899924
3,0.1845426275394857,0.19012896809726954,0.18564494093880057,14.233601093292236,0.203125,15.41806863812116,24,15.41806863812116,8.349865674972534,0.140625,12.387756818057264,24,12.387756818057264,22.904931008815765,0.375,1117.0247264079142,22,52.85238423398357,25.469350814819336,0.359375,1115.7877621869425,22,53.44276072254696
4,0.17552387434989214,0.16899469774216413,0.16942535294219851,14.485985040664673,0.25,16.815737865667227,24,16.815737865667227,12.076445668935776,0.21875,13.740777983076526,24,13.740777983076526,23.96741807460785,0.265625,27.13572659248146,24,27.13572659248146,27.14231014251709,0.265625,28.684506108092005,24,28.684506108092005
5,0.17534204525873065,0.1564448932185769,0.1624150318093598,10.309965163469315,0.15625,13.75110202899431,24,13.75110202899431,10.451731085777283,0.203125,13.621204457300779,24,13.621204457300779,25.116130709648132,0.46875,48.662132094344244,22,40.46875089563101,28.856155276298523,0.46875,47.709985710161654,22,40.63327303344651
6,0.1492567011155188,0.17012699972838163,0.17086531734094024,10.678374767303467,0.171875,11.259777614173766,24,11.259777614173766,8.764449506998062,0.171875,10.112893477096668,24,10.112893477096668,22.54270315170288,0.34375,24.748835604409102,24,24.748835604409102,24.662519991397858,0.40625,25.704802291303835,24,25.704802291303835
7,0.16088492702692747,0.1536182244308293,0.161433732137084,11.343909054994583,0.140625,12.515420916370543,24,12.515420916370543,8.855903148651123,0.171875,9.921432297742784,24,9.921432297742784,19.048653542995453,0.265625,23.40004797159976,24,23.40004797159976,22.56290465593338,0.328125,24.60571984426625,24,24.60571984426625
8,0.15430537750944495,0.15552311670035124,0.1522294245660305,14.474646747112274,0.28125,13.436868262389757,24,13.436868262389757,11.91139966249466,0.3125,14.731185439408593,24,14.731185439408593,14.833800494670868,0.28125,18.832057739663213,24,18.832057739663213,16.08646661043167,0.328125,20.560663980964506,24,20.560663980964506
9,0.1351278624497354,0.15235620085150003,0.14490592293441296,21.18762582540512,0.375,17.49154095387561,24,17.49154095387561,8.461646735668182,0.171875,8.008022549015084,24,8.008022549015084,18.365080654621124,0.21875,20.48722269625712,24,20.48722269625712,19.163580238819122,0.34375,19.00778619976878,24,19.00778619976878
10,0.14382990775629878,0.14507623855024576,0.1438395818695426,17.778001725673676,0.234375,16.382511258683742,24,16.382511258683742,15.066130459308624,0.359375,14.386198257583786,24,14.386198257583786,17.920857667922974,0.25,17.511825347806045,24,17.511825347806045,16.82891845703125,0.28125,17.638630807615552,24,17.638630807615552
11,0.13957791961729527,0.1397017273120582,0.14050089521333575,19.334784150123596,0.234375,17.81273331609073,24,17.81273331609073,6.966844946146011,0.109375,7.394863729307959,24,7.394863729307959,16.063953936100006,0.328125,17.173555850273033,24,17.173555850273033,16.499729454517365,0.375,16.60521386006154,24,16.60521386006154
12,0.13534579193219543,0.13772924430668354,0.13501148205250502,15.344691276550293,0.203125,16.399694223677077,24,16.399694223677077,9.641056507825851,0.21875,10.863720282819477,24,10.863720282819477,17.3159122467041,0.375,17.522008831756786,24,17.522008831756786,17.649342119693756,0.3125,17.627192715010544,24,17.627192715010544
13,0.13157157227396965,0.13548900606110692,0.13679650146514177,10.647451877593994,0.0625,10.725470496687356,24,10.725470496687356,5.915852636098862,0.0625,7.756871102297009,24,7.756871102297009,16.54900312423706,0.296875,18.065275486113936,24,18.065275486113936,17.627108097076416,0.359375,17.778815277706485,24,17.778815277706485
14,0.13361956225708127,0.12574027059599757,0.13757970882579684,13.583636283874512,0.15625,15.625390466299619,24,15.625390466299619,13.90576958656311,0.171875,14.9271725110899,24,14.9271725110899,18.050049245357513,0.28125,19.281629222561218,24,19.281629222561218,22.171550989151,0.234375,21.94343289262309,24,21.94343289262309
15,0.12126384535804391,0.12537880102172494,0.12636204482987523,10.822149366140366,0.140625,8.530225087543084,24,8.530225087543084,9.582550078630447,0.125,8.710620645420024,24,8.710620645420024,28.282010555267334,0.359375,23.030464304412067,24,23.030464304412067,29.32942807674408,0.34375,23.65041669612722,24,23.65041669612722
16,0.12331134639680386,0.11554082157090306,0.12143694330006838,15.295156836509705,0.234375,19.32203414879072,24,19.32203414879072,2.99144946038723,0.078125,8.300422883183337,23,8.142229697228395,25.30481517314911,0.265625,28.621504324027665,24,28.621504324027665,24.883075058460236,0.25,29.388672009636725,24,29.388672009636725
17,0.12497877469286323,0.1196569879539311,0.12273375177755952,15.10470062494278,0.171875,17.131359382998255,24,17.131359382998255,22.931981086730957,0.375,33.357694404921176,24,33.357694404921176,19.595153629779816,0.328125,23.549107711021996,24,23.549107711021996,28.51649820804596,0.53125,41.09635550708302,24,41.09635550708302
