name,category,source_layer,source_head,n,logit_rel_percent_median,logit_rel_percent_p95,logit_rel_percent_max,kl_median,abs_target_logit_delta_median,top1_preservation_rate,top1_change_rate
global_attention_native_control,global_exact,,,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
global_attention_program,global_exact,,,64,0.25400593876838684,0.4765511071309447,0.8851637132465839,3.378412657184526e-05,0.015625,1.0,0.0
global_backbone_native_control,global_exact,,,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
global_backbone_program,global_exact,,,64,0.2583828289061785,0.5662399274297056,0.92344731092453,3.09368952002842e-05,0.00390625,1.0,0.0
global_mlp_native_control,global_exact,,,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
global_mlp_program,global_exact,,,64,0.2405132632702589,0.4185456549748777,0.8832260966300964,2.6831978175323457e-05,0.0078125,1.0,0.0
head_L00H00_native_control,head_exact,0,0,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L00H00_program,head_exact,0,0,64,0.2158916089683771,0.4650387959554789,0.702981511130929,2.8082395147066563e-05,0.0078125,1.0,0.0
head_L00H00_qk_off,head_intervention,0,0,64,1.5491981990635395,3.5317429620772574,4.87024262547493,0.0011302813654765487,0.0625,0.953125,0.046875
head_L00H00_vo_off,head_intervention,0,0,64,6.692627817392349,27.881316989660235,77.0608901977539,0.020103774964809418,0.234375,0.78125,0.21875
head_L00H01_native_control,head_exact,0,1,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L00H01_program,head_exact,0,1,64,0.1968189375475049,0.4587402031756934,0.7630294188857079,2.3652130039408803e-05,0.0,1.0,0.0
head_L00H01_qk_off,head_intervention,0,1,64,4.657484218478203,8.732961006462572,13.63622397184372,0.008592263795435429,0.15625,0.859375,0.140625
head_L00H01_vo_off,head_intervention,0,1,64,7.091294229030609,15.19835144281386,30.26178479194641,0.024417055770754814,0.15625,0.78125,0.21875
head_L00H02_native_control,head_exact,0,2,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L00H02_program,head_exact,0,2,64,0.24538161233067513,0.4766909289173779,0.7050220388919115,2.828547076205723e-05,0.0,1.0,0.0
head_L00H02_qk_off,head_intervention,0,2,64,1.6230778768658638,3.8031705655157557,5.44881671667099,0.0012157366145402193,0.03125,0.9375,0.0625
head_L00H02_vo_off,head_intervention,0,2,64,8.468130975961685,36.52474358677864,67.2212302684784,0.05857040360569954,0.265625,0.6875,0.3125
head_L00H03_native_control,head_exact,0,3,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L00H03_program,head_exact,0,3,64,0.24996574502438307,0.4463774827308951,0.5772962234914303,3.178631595801562e-05,0.0078125,1.0,0.0
head_L00H03_qk_off,head_intervention,0,3,64,1.6624286770820618,4.020355138927698,9.214243292808533,0.0015221161302179098,0.046875,0.96875,0.03125
head_L00H03_vo_off,head_intervention,0,3,64,4.425308480858803,22.074969783425296,128.7731170654297,0.008643279783427715,0.1640625,0.875,0.125
head_L00H04_native_control,head_exact,0,4,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L00H04_program,head_exact,0,4,64,0.21661960054188967,0.40586899267509574,0.5362206604331732,2.5992258088081144e-05,0.0,1.0,0.0
head_L00H04_qk_off,head_intervention,0,4,64,0.3771499264985323,0.7218717085197567,1.4073503203690052,5.802699160994962e-05,0.015625,1.0,0.0
head_L00H04_vo_off,head_intervention,0,4,64,2.908807061612606,7.14511178433895,20.02052515745163,0.0032189979683607817,0.078125,0.921875,0.078125
head_L00H05_native_control,head_exact,0,5,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L00H05_program,head_exact,0,5,64,0.20608408376574516,0.40911892661824784,0.6256711669266224,2.3140166376833804e-05,0.0078125,1.0,0.0
head_L00H05_qk_off,head_intervention,0,5,64,0.2879844978451729,0.9213403379544605,1.1487824842333794,4.261883441358805e-05,0.015625,1.0,0.0
head_L00H05_vo_off,head_intervention,0,5,64,2.3164041340351105,5.654524527490137,12.713848054409027,0.001926205470226705,0.078125,0.953125,0.046875
head_L00H06_native_control,head_exact,0,6,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L00H06_program,head_exact,0,6,64,0.24701764341443777,0.5338341905735426,0.612553721293807,3.011969783983659e-05,0.0078125,1.0,0.0
head_L00H06_qk_off,head_intervention,0,6,64,1.2544562108814716,3.511752355843782,7.788335531949997,0.0007117080385796726,0.03125,0.984375,0.015625
head_L00H06_vo_off,head_intervention,0,6,64,5.290380492806435,16.731283962726582,20.399247109889984,0.01262449286878109,0.125,0.875,0.125
head_L00H07_native_control,head_exact,0,7,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L00H07_program,head_exact,0,7,64,0.2377294935286045,0.4030959494411945,0.49185906536877155,2.6212859665974975e-05,0.0,1.0,0.0
head_L00H07_qk_off,head_intervention,0,7,64,0.8973113261163235,1.5085002686828366,3.5075433552265167,0.000291920528979972,0.0234375,0.984375,0.015625
head_L00H07_vo_off,head_intervention,0,7,64,0.8854606188833714,3.6950138024985755,6.911596655845642,0.0002636099816299975,0.03125,0.984375,0.015625
head_L00H08_native_control,head_exact,0,8,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L00H08_program,head_exact,0,8,64,0.26493677869439125,0.5530650401487944,0.7705570664256811,3.433518577367067e-05,0.0078125,1.0,0.0
head_L00H08_qk_off,head_intervention,0,8,64,1.7700031399726868,5.388658754527568,26.83182954788208,0.0013686022721230984,0.03125,0.96875,0.03125
head_L00H08_vo_off,head_intervention,0,8,64,6.101687252521515,60.6073105335235,80.93540072441101,0.021602999418973923,0.203125,0.75,0.25
head_L00H09_native_control,head_exact,0,9,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L00H09_program,head_exact,0,9,64,0.2152817090973258,0.4776350827887652,0.5815869197249413,2.3098536985344253e-05,0.0,1.0,0.0
head_L00H09_qk_off,head_intervention,0,9,64,0.9549926966428757,2.617534408345816,4.041168466210365,0.0004676248354371637,0.03125,0.96875,0.03125
head_L00H09_vo_off,head_intervention,0,9,64,3.684129938483238,11.93489760160446,17.358046770095825,0.0071299378760159016,0.109375,0.953125,0.046875
head_L00H10_native_control,head_exact,0,10,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L00H10_program,head_exact,0,10,64,0.2379338489845395,0.40348363574594254,0.755925290286541,3.0003477149875835e-05,0.0,1.0,0.0
head_L00H10_qk_off,head_intervention,0,10,64,1.6000393778085709,3.6565013788640486,3.989340364933014,0.0009423084557056427,0.0390625,0.953125,0.046875
head_L00H10_vo_off,head_intervention,0,10,64,4.443225637078285,48.95471677184103,93.18984150886536,0.008439687080681324,0.140625,0.828125,0.171875
head_L00H11_native_control,head_exact,0,11,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L00H11_program,head_exact,0,11,64,0.22446271032094955,0.4246367188170551,0.5452684592455626,2.9882939998060465e-05,0.0078125,1.0,0.0
head_L00H11_qk_off,head_intervention,0,11,64,7.140135020017624,17.021393403410904,35.25046706199646,0.018488597124814987,0.234375,0.765625,0.234375
head_L00H11_vo_off,head_intervention,0,11,64,9.286292642354965,29.303441196680065,60.976624488830566,0.022736167535185814,0.296875,0.765625,0.234375
head_L00H12_native_control,head_exact,0,12,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L00H12_program,head_exact,0,12,64,0.22736364044249058,0.47392313135787834,0.5419817287474871,3.0008792236912996e-05,0.0,1.0,0.0
head_L00H12_qk_off,head_intervention,0,12,64,1.2212901376187801,3.9550928026437755,5.552886053919792,0.0006646392284892499,0.03125,0.953125,0.046875
head_L00H12_vo_off,head_intervention,0,12,64,3.5249747335910797,13.660337626934048,65.72719812393188,0.005232876632362604,0.109375,0.9375,0.0625
head_L00H13_native_control,head_exact,0,13,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L00H13_program,head_exact,0,13,64,0.21089171059429646,0.41641033487394447,0.5331242922693491,2.930510527221486e-05,0.0,1.0,0.0
head_L00H13_qk_off,head_intervention,0,13,64,2.6805290952324867,7.57616106420755,8.663488179445267,0.0028702239505946636,0.0625,0.96875,0.03125
head_L00H13_vo_off,head_intervention,0,13,64,4.661380127072334,22.482590600848194,43.144041299819946,0.008856010623276234,0.09375,0.90625,0.09375
head_L01H00_native_control,head_exact,1,0,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L01H00_program,head_exact,1,0,64,0.1965576084330678,0.3185455081984401,0.35688395146280527,2.2170526790432632e-05,0.0,1.0,0.0
head_L01H00_qk_off,head_intervention,1,0,64,4.324006661772728,10.982839688658705,14.252111315727234,0.007212929893285036,0.109375,0.921875,0.078125
head_L01H00_vo_off,head_intervention,1,0,64,6.222118064761162,12.10022449493408,23.6117884516716,0.014415249228477478,0.15625,0.890625,0.109375
head_L01H01_native_control,head_exact,1,1,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L01H01_program,head_exact,1,1,64,0.18249476561322808,0.3373772045597433,0.5464039277285337,1.9437778973951936e-05,0.0,1.0,0.0
head_L01H01_qk_off,head_intervention,1,1,64,2.064373344182968,4.05002849176526,6.13381415605545,0.001165958819910884,0.0625,0.96875,0.03125
head_L01H01_vo_off,head_intervention,1,1,64,1.8793491646647453,6.580080986022948,9.344048798084259,0.0016245648730546236,0.0625,0.96875,0.03125
head_L01H02_native_control,head_exact,1,2,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L01H02_program,head_exact,1,2,64,0.1977367326617241,0.36693517235107703,0.38478891365230083,2.5177690986311063e-05,0.0078125,1.0,0.0
head_L01H02_qk_off,head_intervention,1,2,64,2.5071872398257256,6.874735988676546,8.244607597589493,0.0026332756970077753,0.078125,0.96875,0.03125
head_L01H02_vo_off,head_intervention,1,2,64,2.6790807023644447,8.382398001849646,16.901573538780212,0.003899824805557728,0.078125,0.953125,0.046875
head_L01H03_native_control,head_exact,1,3,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L01H03_program,head_exact,1,3,64,0.18056401750072837,0.3713531594257802,0.446824636310339,2.0960518668289296e-05,0.0,1.0,0.0
head_L01H03_qk_off,head_intervention,1,3,64,1.5654612332582474,6.759882215410462,14.317266643047333,0.00068058748729527,0.046875,0.953125,0.046875
head_L01H03_vo_off,head_intervention,1,3,64,1.9425932317972183,6.899690814316272,21.561811864376068,0.0010121202794834971,0.046875,0.953125,0.046875
head_L01H04_native_control,head_exact,1,4,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L01H04_program,head_exact,1,4,64,0.20153895020484924,0.3413595887832343,0.5391716491430998,2.2977712433203124e-05,0.00390625,1.0,0.0
head_L01H04_qk_off,head_intervention,1,4,64,3.2857976853847504,6.907933503389356,14.081573486328125,0.003921926487237215,0.0859375,0.90625,0.09375
head_L01H04_vo_off,head_intervention,1,4,64,4.419722035527229,10.94838798046111,23.883095383644104,0.009119901806116104,0.109375,0.875,0.125
head_L01H05_native_control,head_exact,1,5,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L01H05_program,head_exact,1,5,64,0.18430358031764627,0.36359657067805523,0.45417887158691883,1.9112450900138356e-05,0.0,1.0,0.0
head_L01H05_qk_off,head_intervention,1,5,64,1.9373493269085884,4.089196324348449,4.632332921028137,0.0011323965154588223,0.0625,0.96875,0.03125
head_L01H05_vo_off,head_intervention,1,5,64,2.0541731268167496,7.674064449965952,13.586756587028503,0.002852452453225851,0.09375,0.9375,0.0625
head_L01H06_native_control,head_exact,1,6,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L01H06_program,head_exact,1,6,64,0.21231158170849085,0.35317055881023396,0.5439465865492821,2.0474461052799597e-05,0.0,1.0,0.0
head_L01H06_qk_off,head_intervention,1,6,64,2.1455828100442886,6.875747554004191,8.184561878442764,0.001999115804210305,0.0546875,0.921875,0.078125
head_L01H06_vo_off,head_intervention,1,6,64,2.381763979792595,8.185465410351748,13.445121049880981,0.002268817275762558,0.078125,0.953125,0.046875
head_L01H07_native_control,head_exact,1,7,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
head_L01H07_program,head_exact,1,7,64,0.20144728478044271,0.3572615177836268,0.5172438453882933,2.035194484051317e-05,0.0,1.0,0.0
head_L01H07_qk_off,head_intervention,1,7,64,1.0258338414132595,1.596739692613482,2.6506759226322174,0.0003526400832924992,0.03125,0.984375,0.015625
head_L01H07_vo_off,head_intervention,1,7,64,6.579408794641495,14.060685262084004,28.812190890312195,0.017318299040198326,0.171875,0.921875,0.078125
head_L01H08_native_control,head_exact,1,8,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
